"ecoSpeciesProfilesID"	"ecoSpeciesID"	"lifeZoneID"	"ecoGenusID"	"IUCNL3ID"	"BIOL4ID"	"ecoSpeciesDescription"	"ecoSpeciesBiota"	"ecoSpeciesDistribution"	"ecoSpeciesDistributionRasterName"	"ecoSpeciesDistributionRasterValue"	"RLEStatus"	"RLENotes"	"ecotaxonomicNotes"	"ecoSpeciesProfilesReferenceID"	"ecoSpeciesProfilesReference"	"ecoSpeciesProfilesReferencePage"	"ecoSpeciesProfilesReferenceAuthorID"	"ecoSpeciesProfilesReferenceDate"	"isProtologue"	"ecoSpeciesProfilesReferenceAuthor"
341	20200804140707	"20200804085240"	"6fa2e18e-a189-4bf3-8a60-8e267636b292"											"https://doi.org/10.13140/RG.2.2.32628.48003"	"Senterre (2014)"	"21"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	1	"Senterre, Bruno"
342	20200804141603	"20200804085240"	"6fa2e18e-a189-4bf3-8a60-8e267636b292"	"TF1.1"	"BIO-TF1.1.2"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"33"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	1	"Senterre, Bruno"
343	20200804141814	"20200804085240"	"5c8820c5-4334-4d40-853c-2e80b9210ded"											"https://doi.org/10.13140/RG.2.2.32628.48003"	"Senterre (2014)"	"22"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	1	"Senterre, Bruno"
344	20200804142328	"20200804085240"	"5c8820c5-4334-4d40-853c-2e80b9210ded"	"TF1.3"	"BIO-TF3.1.2"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"30"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	1	"Senterre, Bruno"
345	20200804142654	"20200804085240"	"82357250-99b1-4de1-ab12-dd946412583f"											"https://doi.org/10.13140/RG.2.2.32628.48003"	"Senterre (2014)"	"23"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	1	"Senterre, Bruno"
346	20200804143417	"20200804085240"	"82357250-99b1-4de1-ab12-dd946412583f"	"TF1.1"	"BIO-TF1.1.3"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"36"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	1	"Senterre, Bruno"
347	20200804143418	"20200804085240"	"20190823-1648"											"https://doi.org/10.13140/RG.2.2.32628.48003"	"Senterre (2014)"	"23"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	1	"Senterre, Bruno"
348	20200804144224	"20200804085240"	"20190823-1648"	"F1.2"	"BIO-F1.1.2"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"28"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	1	"Senterre, Bruno"
349	20200804144226	"20200804085240"	"b101cd42-7b40-4042-a4ba-49bf33d5fb79"											"https://doi.org/10.13140/RG.2.2.32628.48003"	"Senterre (2014)"	"24"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2014-06-11T21:00:00Z	1	"Senterre, Bruno"
350	20200804152630	"20200804085240"	"b101cd42-7b40-4042-a4ba-49bf33d5fb79"	"TF1.3"	"BIO-F4.1.2"									"https://doi.org/10.13140/RG.2.2.17934.89924"	"Senterre (2020)"	"29"	"6980a07a-811b-4b74-82f4-56c601afaab6"	2020-08-03T21:00:00Z	1	"Senterre, Bruno"
351	20200805172755	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"											"https://doi.org/10.2307/1217558"	"Voorhoeve (1965)"	"21"	"VoorhoeveAG"	1964-12-31T20:00:00Z	1	"Voorhoeve, Alexander George"
352	20200807153304	"7bed19ab-1acd-489b-96bf-b01843742a45"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"											"https://doi.org/10.2307/1217558"	"Voorhoeve (1965)"	"21"	"VoorhoeveAG"	1964-12-31T20:00:00Z	1	"Voorhoeve, Alexander George"
353	20200812151131	"2ef17527-cb5a-4fa7-94c1-ff12717e1b6b"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"											"ISBN 978-1-5272-4065-0"	"Couch (2019)"		"CouchCharlotte"	2019-04-30T21:00:00Z	1	"Couch, Charlotte"
354	20200812154209	"ac3b768f-e0e9-4ca3-ba6a-f4bac91d2b6c"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"											"ISBN 978-1-5272-4065-0"	"Couch (2019)"		"CouchCharlotte"	2019-04-30T21:00:00Z	1	"Couch, Charlotte"
355	20200812160107	"7bed19ab-1acd-489b-96bf-b01843742a45"	"4166a7be-5ed2-4f61-9fe1-6d53cb99fc6a"											"ISBN 978-1-5272-4065-0"	"Couch (2019)"	"49"	"CouchCharlotte"	2019-04-30T21:00:00Z	1	"Couch, Charlotte"
